Gemeinde,BFS_NR_GEMEINDE,0-19,20-39,40-64,65-79,80+,Statistikjahr
Gachnang,4571,23.8,23.4,40,10.6,2.2,2013
Gottlieben,4651,16.2,20.9,46.4,13.9,2.6,2013
Güttingen,4656,20.6,23,39.4,13.2,3.8,2013
Hauptwil-Gottshaus,4486,23.7,27.2,37.5,8.5,3.1,2013
Hefenhofen,4416,23.2,23.8,40.7,8.7,3.6,2013
Herdern ,4811,25.4,21.2,40.8,8.3,4.4,2013
Hohentannen,4495,27.2,22.3,37.7,7.9,4.9,2013
Homburg,4816,22.1,23,37.9,12.5,4.5,2013
Horn,4421,19,24.4,37.1,13.9,5.6,2013
Hüttlingen,4590,21.8,25.6,39.1,10,3.5,2013
Hüttwilen,4821,23.7,21.3,39.8,11.3,3.9,2013
Kemmental,4666,22.9,22.8,39.2,11.3,3.7,2013
Kesswil,4426,20.6,20.3,39,14.9,5.1,2013
Kradolf-Schönenberg,4501,20.9,27.2,39.2,8.7,4,2013
Kreuzlingen,4671,17.6,28.7,36.1,13.4,4.2,2013
Langrickenbach,4681,23.3,25.7,38.8,8.5,3.8,2013
Lengwil,4683,24.8,22.9,39.5,9.4,3.4,2013
Lommis,4741,24.1,22.7,42.2,8.4,2.6,2013
Mammern,4826,21.4,24.5,38.3,11.8,3.9,2013
Märstetten,4941,23.5,25.9,38,9.7,2.9,2013
Matzingen,4591,23,26.5,37.2,9.7,3.5,2013
Müllheim,4831,23.2,23.5,38.8,11.5,3,2013
Münchwilen,4746,23.3,26.4,36.4,10.3,3.6,2013
Münsterlingen,4691,19.5,24.9,39.7,12.5,3.3,2013
Neunforn,4601,16.6,21.3,41.2,15.5,5.5,2013
Pfyn,4841,22,24.5,40.7,9.5,3.3,2013
Raperswilen,4846,20.9,19.3,43.5,12,4.3,2013
Rickenbach,4751,19,30.6,35.2,12,3.2,2013
Roggwil,4431,25.6,20.2,39.7,11,3.5,2013
Romanshorn,4436,19.3,26.3,34.6,13.6,6.1,2013
Salenstein,4851,16,20.2,46.2,13.8,3.9,2013
Salmsach,4441,21,26.5,37.4,12.1,3,2013
Schlatt,4546,23.2,20,41.5,11.3,4.1,2013
Schönholzerswilen,4756,28.2,22.2,36.5,9,4.1,2013
Sirnach,4761,21.7,27.4,36.3,11,3.6,2013
Sommeri ,4446,18.8,25.3,39.8,12.3,3.8,2013
Steckborn,4864,18.5,22.1,38.1,15.4,5.9,2013
Stettfurt,4606,25,18.6,44,9,3.4,2013
Sulgen,4506,21.5,26.8,35.3,11.3,5.2,2013
Tägerwilen,4696,22,25.2,37.9,11.4,3.5,2013
Thundorf,4611,23.5,22.5,40.4,9.4,4.2,2013
Tobel-Tägerschen,4776,25.1,26.2,35.7,9.2,3.8,2013
Uesslingen-Buch,4616,20.8,23.6,40.6,11.2,3.8,2013
Uttwil,4451,21.4,22.7,39,13.3,3.5,2013
Wagenhausen,4871,21,24.4,38,12.9,3.7,2013
Wäldi,4701,22.1,19.6,43.1,10.8,4.5,2013
Wängi,4781,23.8,24.7,36.7,11.1,3.7,2013
Warth-Weiningen,4621,19.3,20.5,42.6,13.6,4,2013
Weinfelden,4946,19.1,29.4,32.7,12.8,6,2013
Wigoltingen,4951,21.8,21.7,41.3,10.9,4.3,2013
Wilen,4786,26.2,23.2,37.8,9.9,2.9,2013
Wuppenau,4791,25.8,23.3,35.9,11.9,3,2013
Zihlschlacht-Sitterdorf,4511,25,23.9,37.9,9.8,3.3,2013
Aadorf ,4551,20.5,25.1,38.2,12.4,3.9,2014
Affeltrangen,4711,23.4,25.5,37.2,10.3,3.6,2014
Altnau,4641,23.1,23,38.8,11.9,3.2,2014
Amlikon-Bissegg,4881,20.9,24.1,39.9,10.5,4.6,2014
Amriswil,4461,20.8,29.2,33.5,11.6,4.9,2014
Arbon,4401,19.2,25.7,35.5,14.1,5.5,2014
Basadingen-Schlattingen,4536,22.7,19.9,41.1,12.3,4,2014
Berg,4891,24.7,22.3,37.6,11.4,4.1,2014
Berlingen ,4801,12.3,17.4,42.4,22.2,5.6,2014
Bettwiesen,4716,21,27.7,39.3,7.9,4.1,2014
Bichelsee-Balterswil,4721,22.8,24.6,37.2,12,3.5,2014
Birwinken,4901,23.3,22.5,39.3,10.6,4.3,2014
Bischofszell,4471,21.5,26.3,34.7,12.3,5.3,2014
Bottighofen,4643,17.8,19.6,39.8,17.7,5.2,2014
Braunau,4723,26.1,24.6,35.2,11.8,2.3,2014
Bürglen,4911,19.7,29.7,35.9,10.7,4,2014
Bussnang ,4921,22.5,27.3,36,10,4.2,2014
Diessenhofen,4545,19.3,25.9,35.2,15.2,4.3,2014
Dozwil,4406,26.5,24.5,31.7,11.8,5.5,2014
Egnach,4411,22.3,25.1,36.8,11.8,4.1,2014
Erlen,4476,23.8,28.3,34.7,9.9,3.2,2014
Ermatingen,4646,18.2,21.9,40.3,14,5.6,2014
Eschenz,4806,19.7,22.9,39.2,14.2,4,2014
Eschlikon,4724,21,26.5,37,11.5,3.9,2014
Felben-Wellhausen,4561,21.9,26.9,38.4,10.2,2.6,2014
Fischingen,4726,21.3,22.3,39.3,12.8,4.2,2014
Frauenfeld,4566,19.1,29.4,34.1,12.4,5,2014
Gachnang,4571,23.3,23.9,40,10.8,2,2014
Gottlieben,4651,17.1,20.1,45.5,14.4,3,2014
Güttingen,4656,21.1,23.6,37.9,13.3,4.2,2014
Hauptwil-Gottshaus,4486,24.1,26,37.4,9.5,3,2014
Hefenhofen,4416,21.2,23.8,42.4,8.5,4.1,2014
Herdern ,4811,23.5,21.4,42.5,8.4,4.2,2014
Hohentannen,4495,25.7,23.9,37.8,8,4.6,2014
Homburg,4816,22.9,22.2,37.7,12.6,4.6,2014
Horn,4421,18.3,23.9,37.4,14.6,5.8,2014
Hüttlingen,4590,22.5,25.6,38.1,10.1,3.6,2014
Hüttwilen,4821,23.6,21.3,39.2,12,3.9,2014
Kemmental,4666,22.1,23,39.4,11.7,3.8,2014
Kesswil,4426,21.6,19.5,39,14.6,5.3,2014
Kradolf-Schönenberg,4501,20.2,28.8,38.3,9.1,3.6,2014
Kreuzlingen,4671,17.4,29.1,35.6,13.6,4.3,2014
Langrickenbach,4681,23.4,26.1,38.1,8.8,3.6,2014
Lengwil,4683,23.7,24.2,39.3,9.9,2.9,2014
Lommis,4741,23.8,23.7,41.1,8.8,2.5,2014
Mammern,4826,20.9,24.5,39,11.3,4.3,2014
Märstetten,4941,23.3,25,38.6,10.1,3,2014
Matzingen,4591,22.9,27.5,36.6,9.5,3.5,2014
Müllheim,4831,22.2,23.4,39.4,11.8,3.1,2014
Münchwilen,4746,22.7,26.8,36.6,10.4,3.5,2014
Münsterlingen,4691,19.5,25.1,38.9,13.1,3.4,2014
Neunforn,4601,15.4,22,40.7,16.5,5.3,2014
Pfyn,4841,21.8,24.9,39.4,10.1,3.8,2014
Raperswilen,4846,20.2,23.4,39.9,12.7,3.9,2014
Rickenbach,4751,18.7,30.9,34.6,12,3.8,2014
Roggwil,4431,25.2,19.9,39.5,12.1,3.3,2014
Romanshorn,4436,19.1,26.3,34.5,14,6,2014
Salenstein,4851,15.8,20.5,45.1,14.1,4.5,2014
Salmsach,4441,21,26.8,37.7,11.8,2.7,2014
Schlatt,4546,21.4,21.7,40.9,11.9,4,2014
Schönholzerswilen,4756,27,21.9,37.4,9.3,4.4,2014
Sirnach,4761,21,27.7,36.3,11.4,3.6,2014
Sommeri ,4446,20,27,37.6,11.9,3.5,2014
Steckborn,4864,18.8,21.8,38.3,15.5,5.6,2014
Stettfurt,4606,24.9,19,42.5,10.1,3.5,2014
Sulgen,4506,20.5,27.7,35.1,11.2,5.6,2014
Tägerwilen,4696,22,25.1,38.2,11.2,3.5,2014
Thundorf,4611,23.1,24.1,37.9,10.6,4.3,2014
Tobel-Tägerschen,4776,24.5,25.9,36.5,9.6,3.5,2014
Uesslingen-Buch,4616,20.5,24.8,39.2,11.9,3.6,2014
Uttwil,4451,20.6,22.2,39.5,13.7,3.9,2014
Wagenhausen,4871,21,23.7,38.3,13,4,2014
Wäldi,4701,21.6,21.1,42.2,11.2,4,2014
Wängi,4781,23.6,24.4,36.9,11.5,3.7,2014
Warth-Weiningen,4621,19.6,19.7,42.6,14.2,3.9,2014
Weinfelden,4946,19.1,29.5,32.7,12.6,6.1,2014
Wigoltingen,4951,21.7,22.7,40.4,10.7,4.5,2014
Wilen,4786,26.1,24,37.2,10.1,2.6,2014
Wuppenau,4791,26.7,22.9,35.3,12,3,2014
Zihlschlacht-Sitterdorf,4511,24.8,24.9,36.4,10.5,3.3,2014
Aadorf,4551,20.1,25.6,37.5,12.8,3.9,2015
Affeltrangen,4711,23.1,25.6,37.2,10.6,3.5,2015
Altnau,4641,22.6,22.7,38.7,12.6,3.4,2015
Amlikon-Bissegg,4881,20.1,25.2,39.5,10.2,5,2015
Amriswil,4461,20.7,29.7,33.2,11.6,4.8,2015
Arbon,4401,19.1,25.5,35.3,14.3,5.7,2015
Basadingen-Schlattingen,4536,21.7,21.2,40,12.5,4.5,2015
Berg,4891,23.8,22.8,37.7,11.5,4.2,2015
Berlingen,4801,13.1,17,41.6,22.4,5.9,2015
Bettwiesen,4716,20.9,28.4,39,8.1,3.6,2015
Bichelsee-Balterswil,4721,22.3,24.3,37.6,12.4,3.5,2015
Birwinken,4901,23.3,22.2,39.2,10.9,4.4,2015
Bischofszell,4471,20.8,26.9,34.5,12.6,5.3,2015
Bottighofen,4643,17.9,19.9,39.7,16.9,5.6,2015
Braunau,4723,25.6,24.4,36.4,11.3,2.3,2015
Bürglen,4911,19.5,31,34.6,11.1,3.8,2015
Bussnang,4921,22.3,26.9,36.3,10.4,4,2015
Diessenhofen,4545,19.1,26.2,35,15.3,4.4,2015
Dozwil,4406,26,24.4,32.3,12.6,4.7,2015
Egnach,4411,22.4,24.7,36.8,12,4.1,2015
Erlen,4476,23.1,30.3,33.6,10.1,2.9,2015
Ermatingen,4646,18.3,21.8,39.8,14.3,5.8,2015
Eschenz,4806,19.4,23.4,38,15,4.1,2015
Eschlikon,4724,20.6,27.5,36.4,11.6,3.8,2015
Felben-Wellhausen,4561,21.1,27,38.4,11.2,2.3,2015
Fischingen,4726,21.9,22.4,38.6,12.7,4.4,2015
Frauenfeld,4566,19,29.7,33.9,12.4,5,2015
Gachnang,4571,22.8,25.5,38.1,11.1,2.5,2015
Gottlieben,4651,17.5,22.5,42.5,14.4,3.1,2015
Güttingen,4656,21,23.8,37.7,13.1,4.4,2015
Hauptwil-Gottshaus,4486,23.8,26.9,37.1,9.3,2.9,2015
Hefenhofen,4416,20.6,23.7,42.3,9.5,3.9,2015
Herdern,4811,22.8,22.7,41.5,8.7,4.3,2015
Hohentannen,4495,24.3,24.8,38.2,7.8,4.7,2015
Homburg,4816,23.6,21.6,37,13.5,4.4,2015
Horn,4421,17.4,24.6,37.2,14.8,5.9,2015
Hüttlingen,4590,22.2,24.2,39.6,10.6,3.4,2015
Hüttwilen,4821,23.8,21.6,38.5,12.4,3.7,2015
Kemmental,4666,22,23.4,38.9,11.8,3.9,2015
Kesswil,4426,22.5,19.3,37.6,15,5.6,2015
Kradolf-Schönenberg,4501,20.1,28.9,37.5,9.7,3.8,2015
Kreuzlingen,4671,17.5,28.9,35.6,13.6,4.4,2015
Langrickenbach,4681,23.2,26.1,38,8.9,3.8,2015
Lengwil,4683,23.2,25.7,38.3,10,2.8,2015
Lommis,4741,23.3,23.8,40.8,9.6,2.4,2015
Mammern,4826,20.2,23.5,40,10.9,5.4,2015
Märstetten,4941,22.8,25,38.1,11,3.1,2015
Matzingen,4591,22.6,28.6,35.9,9.2,3.7,2015
Müllheim,4831,21.3,24.5,39,11.8,3.4,2015
Münchwilen,4746,22.7,27.2,36.1,10.6,3.4,2015
Münsterlingen,4691,19.4,24.7,39.3,13.3,3.5,2015
Neunforn,4601,15.9,22.5,39.9,16.5,5.2,2015
Pfyn,4841,21.6,23.7,40.2,10.7,3.8,2015
Raperswilen,4846,19.7,22,41.4,12.9,4,2015
Rickenbach,4751,19.1,31,34.2,11.8,3.8,2015
Roggwil,4431,24.9,20.7,39,12,3.5,2015
Romanshorn,4436,18.8,26.7,34.2,14.2,6.1,2015
Salenstein,4851,15.5,19.5,45.3,15.4,4.4,2015
Salmsach,4441,20.3,27.3,37.2,11.9,3.2,2015
Schlatt,4546,21.6,20.3,41.4,12.5,4.2,2015
Schönholzerswilen,4756,27.5,23.1,35.7,9.1,4.6,2015
Sirnach,4761,20.6,28.5,35.6,11.5,3.7,2015
Sommeri,4446,19.8,25.2,37.9,13.1,4,2015
Steckborn,4864,18.6,21.8,37.9,16,5.8,2015
Stettfurt,4606,23.8,19.7,42.4,10.8,3.4,2015
Sulgen,4506,20.1,28.2,34.8,11.4,5.4,2015
Tägerwilen,4696,21.9,24.9,38.4,10.9,3.9,2015
Thundorf,4611,24.2,23.3,37.2,11.1,4.1,2015
Tobel-Tägerschen,4776,23.9,24.8,38.4,9.7,3.2,2015
Uesslingen-Buch,4616,20.4,24.3,39.4,12.1,3.8,2015
Uttwil,4451,19.4,21.8,40,14.5,4.3,2015
Wagenhausen,4871,21.6,23.3,37.5,13.6,4.1,2015
Wäldi,4701,20.7,22.5,40.5,12.3,4,2015
Wängi,4781,23.3,24.1,37,11.7,3.9,2015
Warth-Weiningen,4621,19.3,18.2,43.5,15.2,3.9,2015
Weinfelden,4946,19,29.7,32.6,12.6,6.1,2015
Wigoltingen,4951,22.1,23.7,39.7,10.2,4.3,2015
Wilen,4786,25.9,23.9,37.2,10.5,2.5,2015
Wuppenau,4791,26.5,22.1,36.5,11.6,3.2,2015
Zihlschlacht-Sitterdorf,4511,24.3,25.1,36.3,11.1,3.2,2015
Aadorf,4551,20.3,25.5,36.9,13.5,3.8,2016
Affeltrangen,4711,23.4,25.3,37.1,10.9,3.3,2016
Altnau,4641,22.4,23,38.9,12.4,3.3,2016
Amlikon-Bissegg,4881,18.9,24.4,40.4,10.9,5.4,2016
Amriswil,4461,20.6,29.5,33.4,11.7,4.8,2016
Arbon,4401,19.1,25.4,35.6,14.1,5.8,2016
Basadingen-Schlattingen,4536,21.3,20.9,40.3,13,4.6,2016
Berg,4891,23.6,23.1,37.7,11.7,3.9,2016
Berlingen,4801,13.9,18.2,39.1,22.4,6.4,2016
Bettwiesen,4716,21.8,28,38.1,8.9,3.2,2016
Bichelsee-Balterswil,4721,22.5,24.4,36.7,12.7,3.6,2016
Birwinken,4901,22.7,23,38.9,10.8,4.5,2016
Bischofszell,4471,20.7,27,34.2,12.5,5.5,2016
Bottighofen,4643,17.7,19.4,40.1,16.6,6.2,2016
Braunau,4723,24.7,25,36.6,11.5,2.2,2016
Bürglen,4911,19.1,31.3,34.5,11.1,3.9,2016
Bussnang,4921,21.4,27,36.2,11,4.4,2016
Diessenhofen,4545,19.2,26.6,34.7,15.3,4.3,2016
Dozwil,4406,25.9,24.6,32.2,13.3,4,2016
Egnach,4411,21.9,25.4,36.7,11.8,4.1,2016
Erlen,4476,23.1,29.7,33.9,10.4,2.9,2016
Ermatingen,4646,18.3,22.3,39.6,14.1,5.8,2016
Eschenz,4806,19.6,22.4,38.5,15.1,4.4,2016
Eschlikon,4724,21.3,27,35.9,11.9,3.9,2016
Felben-Wellhausen,4561,21.2,26.7,37.8,11.9,2.4,2016
Fischingen,4726,21.5,23.7,37.6,12.8,4.5,2016
Frauenfeld,4566,19,29.4,33.9,12.4,5.3,2016
Gachnang,4571,22.9,26.4,37.1,11.3,2.2,2016
Gottlieben,4651,17,21.7,41.2,17,3.1,2016
Güttingen,4656,20.8,23.1,37.4,13.9,4.9,2016
Hauptwil-Gottshaus,4486,24.1,26.7,36.6,9.4,3.2,2016
Hefenhofen,4416,20.9,24,42.4,8.8,3.9,2016
Herdern,4811,21.6,23.4,41,9.7,4.4,2016
Hohentannen,4495,23.1,24.6,39.4,7.5,5.4,2016
Homburg,4816,22.9,22.3,37.1,13.4,4.4,2016
Horn,4421,16.7,23,38.2,15.4,6.7,2016
Hüttlingen,4590,22.1,23.9,40.6,10.2,3.2,2016
Hüttwilen,4821,23.6,21.7,38.4,12.3,4,2016
Kemmental,4666,21.1,24.6,38.4,11.9,4.1,2016
Kesswil,4426,22.4,17.2,38,15.7,6.7,2016
Kradolf-Schönenberg,4501,20,29.4,37,10.1,3.6,2016
Kreuzlingen,4671,17.5,28.4,35.9,13.6,4.6,2016
Langrickenbach,4681,22.8,26,37.5,9.9,3.8,2016
Lengwil,4683,23.8,25.2,38.2,10.2,2.6,2016
Lommis,4741,22.9,23.4,41,10,2.8,2016
Mammern,4826,20.3,23.2,38.9,12.5,5.1,2016
Märstetten,4941,22.4,25.7,37.2,11.4,3.3,2016
Matzingen,4591,22.5,28.3,36,9.8,3.4,2016
Müllheim,4831,21.6,24.3,38.9,11.7,3.5,2016
Münchwilen,4746,22.3,27.3,36.4,10.7,3.4,2016
Münsterlingen,4691,19.7,25,38.5,13.1,3.7,2016
Neunforn,4601,17,22.7,38.1,16.9,5.2,2016
Pfyn,4841,22.1,23.3,40.5,10.5,3.7,2016
Raperswilen,4846,18.4,22.3,41.4,13.6,4.3,2016
Rickenbach,4751,19.1,30.7,34.3,11.9,3.9,2016
Roggwil,4431,24.8,21.7,38.3,11.5,3.7,2016
Romanshorn,4436,18.8,27,33.8,14.3,6,2016
Salenstein,4851,15.9,19.1,44.6,16.6,3.8,2016
Salmsach,4441,19.6,28.5,37,11.7,3.2,2016
Schlatt,4546,21.1,20.7,41.5,13,3.7,2016
Schönholzerswilen,4756,26.8,24.8,35.2,9.5,3.7,2016
Sirnach,4761,20.2,28.4,35.9,11.7,3.8,2016
Sommeri,4446,20.4,26.8,37.2,11.7,4,2016
Steckborn,4864,17.9,22.1,37.6,16.5,6,2016
Stettfurt,4606,24.3,20.5,40.6,11.6,3,2016
Sulgen,4506,20.2,28,34.3,11.7,5.8,2016
Tägerwilen,4696,22,25.6,37.7,10.8,4,2016
Thundorf,4611,23.6,23.9,37.2,11.2,4,2016
Tobel-Tägerschen,4776,22.5,27.5,36.8,10,3.1,2016
Uesslingen-Buch,4616,19.8,24.2,39.4,12.4,4.2,2016
Uttwil,4451,19.5,21.1,40.4,14.5,4.5,2016
Wagenhausen,4871,21.2,22.7,38.4,13.3,4.4,2016
Wäldi,4701,20.3,22.4,40.3,13,4.1,2016
Wängi,4781,22.6,24.8,37.1,11.9,3.7,2016
Warth-Weiningen,4621,18.8,19.6,42.4,15.7,3.5,2016
Weinfelden,4946,19,29.5,32.5,12.7,6.4,2016
Wigoltingen,4951,21.5,24.6,39.1,10.7,4.1,2016
Wilen,4786,25,24.6,36.7,10.8,2.9,2016
Wuppenau,4791,25.9,21.9,36.4,11.8,4,2016
Zihlschlacht-Sitterdorf,4511,24.1,25.4,35.6,11.3,3.5,2016
Aadorf,4551,20.2,25.4,36.4,14,4,2017
Affeltrangen,4711,23,26,36.6,11,3.4,2017
Altnau,4641,22.5,23.2,38.3,12.4,3.7,2017
Amlikon-Bissegg,4881,19.2,24.8,39.6,11.3,5.1,2017
Amriswil,4461,20.6,29.2,33.5,11.8,4.9,2017
Arbon,4401,19.2,25.6,35.4,14.2,5.7,2017
Basadingen-Schlattingen,4536,21.5,20.9,39.6,13.4,4.6,2017
Berg,4891,22.9,23.6,37.7,11.6,4.2,2017
Berlingen,4801,14.1,19.5,37.3,21.5,7.6,2017
Bettwiesen,4716,21.1,29.1,37,9.6,3.2,2017
Bichelsee-Balterswil,4721,22.7,24.5,36.6,12.7,3.5,2017
Birwinken,4901,22.4,23.9,38.2,10.7,4.8,2017
Bischofszell,4471,20.8,27,33.9,12.8,5.5,2017
Bottighofen,4643,18.4,18.2,40.3,16.5,6.6,2017
Braunau,4723,24.7,24.7,37.1,11.6,1.9,2017
Bürglen,4911,19.4,31.5,33.9,11.1,4.2,2017
Bussnang,4921,21.7,27.3,35.7,11,4.3,2017
Diessenhofen,4545,18.4,26.6,35.1,15.8,4.1,2017
Dozwil,4406,25.1,22.9,34.2,13.6,4.1,2017
Egnach,4411,22,25.2,36.8,11.9,4,2017
Erlen,4476,23.6,28.9,34.3,10.4,2.9,2017
Ermatingen,4646,17.6,22.4,39.6,14.3,6.1,2017
Eschenz,4806,19.9,21.5,39.3,15,4.3,2017
Eschlikon,4724,21,26.4,35.8,12.6,4.2,2017
Felben-Wellhausen,4561,21.4,26.6,37.7,11.7,2.5,2017
Fischingen,4726,21.5,24.2,37.1,13,4.2,2017
Frauenfeld,4566,18.9,29.3,33.7,12.9,5.3,2017
Gachnang,4571,22.5,26.6,36.8,11.9,2.2,2017
Gottlieben,4651,19.5,21,38.5,17.2,3.7,2017
Güttingen,4656,20.9,22.4,37.7,14.3,4.7,2017
Hauptwil-Gottshaus,4486,23.5,27,35.7,10.4,3.3,2017
Hefenhofen,4416,20.6,23.6,42.6,9.9,3.3,2017
Herdern,4811,20.9,22.6,41.1,11.7,3.8,2017
Hohentannen,4495,22.9,24.4,40.5,6.8,5.3,2017
Homburg,4816,23.3,22.1,37,13.5,4.2,2017
Horn,4421,16.2,24.7,37.2,15.4,6.6,2017
Hüttlingen,4590,21.1,24.5,40.6,10.8,3,2017
Hüttwilen,4821,23.3,22.2,38,12.9,3.7,2017
Kemmental,4666,20.5,25.4,38,12.2,3.9,2017
Kesswil,4426,21.7,17.6,39,15.4,6.2,2017
Kradolf-Schönenberg,4501,19.5,28.9,36.9,10.9,3.8,2017
Kreuzlingen,4671,17.5,28.5,35.6,13.6,4.8,2017
Langrickenbach,4681,21.7,27,37.6,10.3,3.5,2017
Lengwil,4683,22.8,24.2,39.9,10.7,2.3,2017
Lommis,4741,22.2,23.8,40.3,10.9,2.9,2017
Mammern,4826,21,21.5,39.2,12.5,5.9,2017
Märstetten,4941,22.4,25.4,37.4,11.6,3.2,2017
Matzingen,4591,21.8,29.8,34.9,10.2,3.3,2017
Müllheim,4831,21,24.2,39.1,12.1,3.6,2017
Münchwilen,4746,21.9,28,35.4,11.2,3.5,2017
Münsterlingen,4691,19.3,25.3,38.1,13.5,3.8,2017
Neunforn,4601,17.1,22.6,37.5,17.6,5.1,2017
Pfyn,4841,22,23.6,40.1,10.5,3.7,2017
Raperswilen,4846,17,22.6,41.1,14.5,4.8,2017
Rickenbach,4751,19.1,30.2,34.2,12.1,4.3,2017
Roggwil,4431,24.2,21.6,38.5,11.5,4.1,2017
Romanshorn,4436,19,27,33.5,14.6,5.9,2017
Salenstein,4851,16.6,17.5,45.2,17.1,3.7,2017
Salmsach,4441,19.4,27.7,36.9,12.8,3.2,2017
Schlatt,4546,21.1,21,40.6,13.6,3.8,2017
Schönholzerswilen,4756,26.9,23.8,35.7,10,3.5,2017
Sirnach,4761,19.8,28.4,35.8,12.2,3.8,2017
Sommeri,4446,20.4,29,35,11,4.6,2017
Steckborn,4864,17.9,21.4,38,16.8,6,2017
Stettfurt,4606,24.2,20.8,39.7,12.2,3.1,2017
Sulgen,4506,20.2,27.7,34.6,12.1,5.4,2017
Tägerwilen,4696,21.4,25,38.4,11.1,4,2017
Thundorf,4611,23.6,23.1,37.4,11.9,4,2017
Tobel-Tägerschen,4776,22.2,27.2,36.9,10.3,3.4,2017
Uesslingen-Buch,4616,19.5,24.4,39.1,12.5,4.6,2017
Uttwil,4451,19.2,21.3,40.2,15,4.4,2017
Wagenhausen,4871,20.6,23.3,37.5,14,4.7,2017
Wäldi,4701,20,21.5,40.2,13.9,4.3,2017
Wängi,4781,22.2,24.7,37,12.2,3.9,2017
Warth-Weiningen,4621,19.1,21.1,41.4,14.9,3.4,2017
Weinfelden,4946,18.9,29.9,32,12.9,6.4,2017
Wigoltingen,4951,22,24.2,39.2,10.3,4.3,2017
Wilen,4786,25.5,23.6,36.9,11,3,2017
Wuppenau,4791,26.2,20.9,36.7,12.2,4,2017
Zihlschlacht-Sitterdorf,4511,23.2,26.3,35.6,11.4,3.6,2017
