Gemeinde,BFS_NR_GEMEINDE,Total,Ausländeranteil_Prozent,Jahr
Aadorf,4551,7329,12.9,2004
Affeltrangen,4711,2187,12.6,2004
Altnau,4641,1932,15.4,2004
Amlikon-Bissegg,4881,1166,4.5,2004
Amriswil,4461,11414,25,2004
Arbon,4401,12817,27.7,2004
Basadingen-Schlattingen,4536,1653,11.5,2004
Berg,4891,2985,9,2004
Berlingen ,4801,777,17.9,2004
Bettwiesen,4716,1055,22.2,2004
Bichelsee-Balterswil,4721,2451,7,2004
Birwinken,4901,1292,6.3,2004
Bischofszell,4471,5514,21.9,2004
Bottighofen,4643,1917,21,2004
Braunau,4723,680,4.1,2004
Bürglen,4911,3165,25.9,2004
Bussnang,4921,1991,4.2,2004
Diessenhofen ,4545,3167,30.4,2004
Dozwil,4406,526,11.4,2004
Egnach,4411,4238,11.9,2004
Erlen,4476,3053,17.2,2004
Ermatingen,4646,2570,20.5,2004
Eschenz,4806,1532,13.7,2004
Eschlikon,4724,3456,11,2004
Felben-Wellhausen,4561,2261,15.5,2004
Fischingen,4726,2586,7,2004
Frauenfeld,4566,21965,22.3,2004
Gachnang,4571,3233,9.8,2004
Gottlieben,4651,286,29,2004
Güttingen,4656,1341,14.5,2004
Hauptwil-Gottshaus,4486,1824,7.3,2004
Hefenhofen,4416,1148,9,2004
Herdern,4811,919,7.4,2004
Hohentannen,4495,600,3.8,2004
Homburg,4816,1431,4.2,2004
Horn,4421,2320,16,2004
Hüttlingen,4590,841,4.8,2004
Hüttwilen,4821,1378,7.8,2004
Kemmental,4666,2157,8,2004
Kesswil,4426,925,15,2004
Kradolf-Schönenberg,4501,3130,19.4,2004
Kreuzlingen,4671,17441,44.3,2004
Langrickenbach,4681,1062,6.9,2004
Lengwil,4683,1191,11.6,2004
Lommis,4741,1042,6.2,2004
Mammern,4826,551,26.7,2004
Märstetten,4941,2320,11.5,2004
Matzingen,4591,2397,18.9,2004
Müllheim,4831,2493,14,2004
Münchwilen,4746,4661,18.3,2004
Münsterlingen,4691,2502,27.7,2004
Neunforn,4601,941,5.6,2004
Pfyn,4841,1845,12,2004
Raperswilen,4846,409,6.6,2004
Rickenbach,4751,2408,29.7,2004
Roggwil,4431,2679,7,2004
Romanshorn,4436,9186,25.6,2004
Salenstein,4851,1201,20.4,2004
Salmsach,4441,1302,23,2004
Schlatt,4546,1561,8.4,2004
Schönholzerswilen,4756,731,2.5,2004
Sirnach,4761,6552,20.4,2004
Sommeri ,4446,486,9.3,2004
Steckborn,4864,3371,22.8,2004
Stettfurt,4606,1033,4.5,2004
Sulgen,4506,3388,21.2,2004
Tägerwilen,4696,3503,26.3,2004
Thundorf,4611,1244,4.4,2004
Tobel-Tägerschen ,4776,1317,11.4,2004
Uesslingen-Buch,4616,1058,3.8,2004
Uttwil,4451,1493,12.5,2004
Wagenhausen,4871,1579,15.1,2004
Wäldi,4701,955,9,2004
Wängi,4781,4077,13.1,2004
Warth-Weiningen,4621,1205,5.1,2004
Weinfelden,4946,9564,20,2004
Wigoltingen,4951,2083,9.4,2004
Wilen,4786,1861,7,2004
Wuppenau,4791,972,2.9,2004
Zihlschlacht-Sitterdorf,4511,1971,10.6,2004
Aadorf,4551,7379,13.2,2005
Affeltrangen,4711,2207,12.3,2005
Altnau,4641,1913,15.3,2005
Amlikon-Bissegg,4881,1193,4.5,2005
Amriswil,4461,11477,24.8,2005
Arbon,4401,12794,27.3,2005
Basadingen-Schlattingen,4536,1664,10.6,2005
Berg,4891,2958,8.7,2005
Berlingen ,4801,784,17.2,2005
Bettwiesen,4716,1058,21.8,2005
Bichelsee-Balterswil,4721,2457,6.8,2005
Birwinken,4901,1282,6.6,2005
Bischofszell,4471,5485,21.8,2005
Bottighofen,4643,1937,22.3,2005
Braunau,4723,671,3.7,2005
Bürglen,4911,3133,25.2,2005
Bussnang,4921,1979,4.5,2005
Diessenhofen ,4545,3222,30,2005
Dozwil,4406,529,12.5,2005
Egnach,4411,4248,11.1,2005
Erlen,4476,3039,17.8,2005
Ermatingen,4646,2606,21.2,2005
Eschenz,4806,1574,14.7,2005
Eschlikon,4724,3537,10.3,2005
Felben-Wellhausen,4561,2307,14.6,2005
Fischingen,4726,2596,7.4,2005
Frauenfeld,4566,21933,21.8,2005
Gachnang,4571,3271,10.2,2005
Gottlieben,4651,327,34.3,2005
Güttingen,4656,1357,13.3,2005
Hauptwil-Gottshaus,4486,1865,7.6,2005
Hefenhofen,4416,1186,9.4,2005
Herdern,4811,928,7.2,2005
Hohentannen,4495,599,4.5,2005
Homburg,4816,1435,4,2005
Horn,4421,2332,16.2,2005
Hüttlingen,4590,841,6.3,2005
Hüttwilen,4821,1371,7.6,2005
Kemmental,4666,2137,8.5,2005
Kesswil,4426,926,14.9,2005
Kradolf-Schönenberg,4501,3181,19,2005
Kreuzlingen,4671,17583,44.7,2005
Langrickenbach,4681,1070,7.2,2005
Lengwil,4683,1239,12,2005
Lommis,4741,1059,6.6,2005
Mammern,4826,562,25.8,2005
Märstetten,4941,2340,10.9,2005
Matzingen,4591,2405,19.3,2005
Müllheim,4831,2536,14.5,2005
Münchwilen,4746,4607,18.3,2005
Münsterlingen,4691,2459,28.3,2005
Neunforn,4601,944,4.8,2005
Pfyn,4841,1862,10.3,2005
Raperswilen,4846,408,5.6,2005
Rickenbach,4751,2400,29.6,2005
Roggwil,4431,2736,7.3,2005
Romanshorn,4436,9179,25.8,2005
Salenstein,4851,1212,21.2,2005
Salmsach,4441,1327,22.1,2005
Schlatt,4546,1525,6.8,2005
Schönholzerswilen,4756,744,2.4,2005
Sirnach,4761,6620,19.9,2005
Sommeri ,4446,500,6.4,2005
Steckborn,4864,3398,22.3,2005
Stettfurt,4606,1062,4.9,2005
Sulgen,4506,3402,20.8,2005
Tägerwilen,4696,3579,27,2005
Thundorf,4611,1260,5.6,2005
Tobel-Tägerschen ,4776,1328,11.4,2005
Uesslingen-Buch,4616,1033,3.8,2005
Uttwil,4451,1500,12.1,2005
Wagenhausen,4871,1554,13.6,2005
Wäldi,4701,955,8.7,2005
Wängi,4781,4074,12.3,2005
Warth-Weiningen,4621,1180,4.9,2005
Weinfelden,4946,9504,19.4,2005
Wigoltingen,4951,2115,10,2005
Wilen,4786,1926,7.7,2005
Wuppenau,4791,1016,3.7,2005
Zihlschlacht-Sitterdorf,4511,1991,10.3,2005
Aadorf,4551,7426,13.2,2006
Affeltrangen,4711,2202,11.4,2006
Altnau,4641,1892,15.1,2006
Amlikon-Bissegg,4881,1211,5,2006
Amriswil,4461,11469,24.6,2006
Arbon,4401,12968,27.3,2006
Basadingen-Schlattingen,4536,1674,12.2,2006
Berg,4891,2977,9.3,2006
Berlingen ,4801,785,17.6,2006
Bettwiesen,4716,1055,21.5,2006
Bichelsee-Balterswil,4721,2465,6.7,2006
Birwinken,4901,1279,6.6,2006
Bischofszell,4471,5461,21.6,2006
Bottighofen,4643,1941,23.4,2006
Braunau,4723,663,4.1,2006
Bürglen,4911,3105,25.5,2006
Bussnang,4921,1995,5.7,2006
Diessenhofen ,4545,3180,29.8,2006
Dozwil,4406,534,13.1,2006
Egnach,4411,4255,10.6,2006
Erlen,4476,3064,17.1,2006
Ermatingen,4646,2649,21.1,2006
Eschenz,4806,1603,14.8,2006
Eschlikon,4724,3605,10.4,2006
Felben-Wellhausen,4561,2310,14.9,2006
Fischingen,4726,2567,7,2006
Frauenfeld,4566,22063,21,2006
Gachnang,4571,3274,9.7,2006
Gottlieben,4651,323,31.3,2006
Güttingen,4656,1392,13.6,2006
Hauptwil-Gottshaus,4486,1808,7.6,2006
Hefenhofen,4416,1175,8.8,2006
Herdern,4811,917,7.6,2006
Hohentannen,4495,604,4.6,2006
Homburg,4816,1430,4,2006
Horn,4421,2362,15,2006
Hüttlingen,4590,831,6.4,2006
Hüttwilen,4821,1386,7.3,2006
Kemmental,4666,2155,9,2006
Kesswil,4426,952,16.1,2006
Kradolf-Schönenberg,4501,3207,17.7,2006
Kreuzlingen,4671,17722,45,2006
Langrickenbach,4681,1068,6.6,2006
Lengwil,4683,1231,12.6,2006
Lommis,4741,1048,6.3,2006
Mammern,4826,557,20.8,2006
Märstetten,4941,2388,10.6,2006
Matzingen,4591,2433,19.4,2006
Müllheim,4831,2487,12.8,2006
Münchwilen,4746,4628,17.7,2006
Münsterlingen,4691,2467,28.8,2006
Neunforn,4601,931,4.4,2006
Pfyn,4841,1839,10.3,2006
Raperswilen,4846,397,4,2006
Rickenbach,4751,2407,30.2,2006
Roggwil,4431,2765,7.4,2006
Romanshorn,4436,9191,25.8,2006
Salenstein,4851,1191,20.8,2006
Salmsach,4441,1310,22.7,2006
Schlatt,4546,1556,7.8,2006
Schönholzerswilen,4756,748,2.4,2006
Sirnach,4761,6603,19.8,2006
Sommeri ,4446,482,7.7,2006
Steckborn,4864,3417,22.1,2006
Stettfurt,4606,1086,5,2006
Sulgen,4506,3368,20.4,2006
Tägerwilen,4696,3664,28.7,2006
Thundorf,4611,1253,4.9,2006
Tobel-Tägerschen ,4776,1359,11.2,2006
Uesslingen-Buch,4616,1042,4.9,2006
Uttwil,4451,1545,11.8,2006
Wagenhausen,4871,1567,13.8,2006
Wäldi,4701,961,8.9,2006
Wängi,4781,4059,12.5,2006
Warth-Weiningen,4621,1158,5,2006
Weinfelden,4946,9649,18.7,2006
Wigoltingen,4951,2137,10.3,2006
Wilen,4786,1954,8.1,2006
Wuppenau,4791,999,3.6,2006
Zihlschlacht-Sitterdorf,4511,2005,9.9,2006
Aadorf,4551,7591,13.6,2007
Affeltrangen,4711,2246,11.2,2007
Altnau,4641,1869,14.9,2007
Amlikon-Bissegg,4881,1223,5.2,2007
Amriswil,4461,11517,25.1,2007
Arbon,4401,13118,27.4,2007
Basadingen-Schlattingen,4536,1679,12.7,2007
Berg,4891,3058,9.5,2007
Berlingen ,4801,812,20.2,2007
Bettwiesen,4716,1046,19.1,2007
Bichelsee-Balterswil,4721,2461,7.7,2007
Birwinken,4901,1265,6.8,2007
Bischofszell,4471,5466,21.4,2007
Bottighofen,4643,2007,24.5,2007
Braunau,4723,673,5.8,2007
Bürglen,4911,3092,24.8,2007
Bussnang,4921,2034,6.5,2007
Diessenhofen ,4545,3160,29.3,2007
Dozwil,4406,552,12.3,2007
Egnach,4411,4272,10.7,2007
Erlen,4476,3078,18.3,2007
Ermatingen,4646,2705,22.2,2007
Eschenz,4806,1619,13.5,2007
Eschlikon,4724,3690,11.1,2007
Felben-Wellhausen,4561,2286,14.1,2007
Fischingen,4726,2569,6.8,2007
Frauenfeld,4566,22313,21.3,2007
Gachnang,4571,3298,10.1,2007
Gottlieben,4651,320,33.1,2007
Güttingen,4656,1389,14,2007
Hauptwil-Gottshaus,4486,1802,8.6,2007
Hefenhofen,4416,1195,7.8,2007
Herdern,4811,922,8.1,2007
Hohentannen,4495,607,4.8,2007
Homburg,4816,1433,4.3,2007
Horn,4421,2429,16,2007
Hüttlingen,4590,837,7,2007
Hüttwilen,4821,1416,7.5,2007
Kemmental,4666,2203,10.6,2007
Kesswil,4426,951,16.2,2007
Kradolf-Schönenberg,4501,3215,18.2,2007
Kreuzlingen,4671,18133,46,2007
Langrickenbach,4681,1099,7.3,2007
Lengwil,4683,1252,12.6,2007
Lommis,4741,1049,8,2007
Mammern,4826,585,24.3,2007
Märstetten,4941,2399,10.2,2007
Matzingen,4591,2433,18.9,2007
Müllheim,4831,2496,12.3,2007
Münchwilen,4746,4618,17.1,2007
Münsterlingen,4691,2543,30.6,2007
Neunforn,4601,933,6,2007
Pfyn,4841,1898,11.1,2007
Raperswilen,4846,397,4.8,2007
Rickenbach,4751,2451,30.8,2007
Roggwil,4431,2806,8.1,2007
Romanshorn,4436,9292,26.2,2007
Salenstein,4851,1244,22.3,2007
Salmsach,4441,1305,22.3,2007
Schlatt,4546,1574,9,2007
Schönholzerswilen,4756,751,2.4,2007
Sirnach,4761,6702,20.4,2007
Sommeri ,4446,497,7.6,2007
Steckborn,4864,3435,22.2,2007
Stettfurt,4606,1098,5,2007
Sulgen,4506,3366,20.3,2007
Tägerwilen,4696,3640,28.7,2007
Thundorf,4611,1273,6.4,2007
Tobel-Tägerschen ,4776,1351,11.6,2007
Uesslingen-Buch,4616,1046,4.3,2007
Uttwil,4451,1604,12.6,2007
Wagenhausen,4871,1589,14.5,2007
Wäldi,4701,960,9.8,2007
Wängi,4781,4059,12.6,2007
Warth-Weiningen,4621,1174,5.6,2007
Weinfelden,4946,9852,18.8,2007
Wigoltingen,4951,2126,10.7,2007
Wilen,4786,2029,8.4,2007
Wuppenau,4791,1008,3.5,2007
Zihlschlacht-Sitterdorf,4511,2029,9.9,2007
Aadorf,4551,7823,14.1,2008
Affeltrangen,4711,2277,11.4,2008
Altnau,4641,1945,15.3,2008
Amlikon-Bissegg,4881,1251,7,2008
Amriswil,4461,11720,26,2008
Arbon,4401,13343,28.4,2008
Basadingen-Schlattingen,4536,1657,10.7,2008
Berg,4891,3022,9.5,2008
Berlingen ,4801,830,20.7,2008
Bettwiesen,4716,1061,19,2008
Bichelsee-Balterswil,4721,2531,8.6,2008
Birwinken,4901,1303,7.2,2008
Bischofszell,4471,5477,22.1,2008
Bottighofen,4643,2068,26.5,2008
Braunau,4723,673,6.2,2008
Bürglen,4911,3164,24.8,2008
Bussnang,4921,2079,6.5,2008
Diessenhofen ,4545,3231,30.1,2008
Dozwil,4406,573,13.3,2008
Egnach,4411,4245,11.2,2008
Erlen,4476,3093,19.1,2008
Ermatingen,4646,2835,24.2,2008
Eschenz,4806,1632,14.3,2008
Eschlikon,4724,3759,11.7,2008
Felben-Wellhausen,4561,2330,15.9,2008
Fischingen,4726,2600,7.6,2008
Frauenfeld,4566,22583,22.1,2008
Gachnang,4571,3362,10.6,2008
Gottlieben,4651,316,32.6,2008
Güttingen,4656,1418,15.2,2008
Hauptwil-Gottshaus,4486,1806,10.1,2008
Hefenhofen,4416,1179,8.7,2008
Herdern,4811,950,8.6,2008
Hohentannen,4495,620,6.8,2008
Homburg,4816,1431,3.8,2008
Horn,4421,2548,16.2,2008
Hüttlingen,4590,842,6.5,2008
Hüttwilen,4821,1433,7.7,2008
Kemmental,4666,2207,11.3,2008
Kesswil,4426,973,16,2008
Kradolf-Schönenberg,4501,3290,19.1,2008
Kreuzlingen,4671,18433,47.8,2008
Langrickenbach,4681,1117,9.4,2008
Lengwil,4683,1284,14.3,2008
Lommis,4741,1068,8.8,2008
Mammern,4826,577,22.5,2008
Märstetten,4941,2429,10.5,2008
Matzingen,4591,2504,20.6,2008
Müllheim,4831,2573,13.3,2008
Münchwilen,4746,4674,17.6,2008
Münsterlingen,4691,2648,33.4,2008
Neunforn,4601,956,6.6,2008
Pfyn,4841,1925,10.9,2008
Raperswilen,4846,404,5.2,2008
Rickenbach,4751,2502,31.4,2008
Roggwil,4431,2889,9.3,2008
Romanshorn,4436,9455,27,2008
Salenstein,4851,1242,23.1,2008
Salmsach,4441,1290,22.7,2008
Schlatt,4546,1595,10.1,2008
Schönholzerswilen,4756,771,4.2,2008
Sirnach,4761,6809,20.8,2008
Sommeri ,4446,511,9.2,2008
Steckborn,4864,3471,23,2008
Stettfurt,4606,1109,4.9,2008
Sulgen,4506,3415,21.6,2008
Tägerwilen,4696,3712,29.8,2008
Thundorf,4611,1292,6.7,2008
Tobel-Tägerschen ,4776,1375,12,2008
Uesslingen-Buch,4616,1041,4.4,2008
Uttwil,4451,1652,13.9,2008
Wagenhausen,4871,1611,15.6,2008
Wäldi,4701,970,11.3,2008
Wängi,4781,4100,12.6,2008
Warth-Weiningen,4621,1188,5.9,2008
Weinfelden,4946,9977,19.6,2008
Wigoltingen,4951,2093,10.4,2008
Wilen,4786,2046,8.5,2008
Wuppenau,4791,1007,4.8,2008
Zihlschlacht-Sitterdorf,4511,2048,10.4,2008
Aadorf,4551,7980,14.1,2009
Affeltrangen,4711,2288,11.8,2009
Altnau,4641,1981,16.7,2009
Amlikon-Bissegg,4881,1298,6.9,2009
Amriswil,4461,11894,26.4,2009
Arbon,4401,13430,28.3,2009
Basadingen-Schlattingen,4536,1699,12.5,2009
Berg,4891,3050,9.9,2009
Berlingen ,4801,839,21.5,2009
Bettwiesen,4716,1054,19.4,2009
Bichelsee-Balterswil,4721,2575,8.9,2009
Birwinken,4901,1296,6.3,2009
Bischofszell,4471,5536,22.2,2009
Bottighofen,4643,2079,27.4,2009
Braunau,4723,677,6.1,2009
Bürglen,4911,3213,24.5,2009
Bussnang,4921,2079,7.6,2009
Diessenhofen ,4545,3314,30.5,2009
Dozwil,4406,608,12.5,2009
Egnach,4411,4277,11.3,2009
Erlen,4476,3135,19.1,2009
Ermatingen,4646,2877,25.3,2009
Eschenz,4806,1655,16,2009
Eschlikon,4724,3808,11.6,2009
Felben-Wellhausen,4561,2394,16.6,2009
Fischingen,4726,2562,8,2009
Frauenfeld,4566,22878,22.1,2009
Gachnang,4571,3423,10.5,2009
Gottlieben,4651,309,33,2009
Güttingen,4656,1429,16.5,2009
Hauptwil-Gottshaus,4486,1789,9.7,2009
Hefenhofen,4416,1154,7,2009
Herdern,4811,981,9.7,2009
Hohentannen,4495,593,6.6,2009
Homburg,4816,1463,5.2,2009
Horn,4421,2584,16.7,2009
Hüttlingen,4590,829,5.9,2009
Hüttwilen,4821,1450,8,2009
Kemmental,4666,2229,12.6,2009
Kesswil,4426,981,17,2009
